"biaId","name","brands","legalName","identificationNumber","address","city","phones","fax","emails","website","facebook","instagram","linkedin","youtube","categories","companySize","yearFounded","employees","description","workingHours","lat","lng","logoUrl","biaUrl","sourceSubcategory","sourceSubcategoryId","sourceCategory","sourceCategoryId"
"99440","ფუდ ტრეიდი","ფუდ ტრეიდი","","412736990","4600, იმერეთი, ქუთაისი, ანჯაფარიძის ქ. 52","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დისტრიბუტორები; დილერები; ხორცპროდუქტებით, ძეხვეულით ვაჭრობა (საბითუმო)","","","","","ორშაბათი - პარასკევი: 09:00 - 18:00","","","","https://www.bia.ge/Company/99440","Subcategory 3279","3279","Direct",""
"102861","ქლინეთიკა","ქლინეთიკა","","400261514","0167, თბილისი, გლდანი-ნაძალადევის რაიონი, გლდანის მას. 3 მ/რ 71 კორპ., ბ. 21","","","","","","https://www.facebook.com/CleaneticaGeorgia","","","","დილერები; დასუფთავების, ქიმწმენდის, სამრეცხაოს დანადგარებით ვაჭრობა; სარეცხი და საწმენდი საშუალებებით ვაჭრობა (საცალო)","","","","","ორშაბათი - პარასკევი: 10:00 - 18:00","","","","https://www.bia.ge/Company/102861","Subcategory 3279","3279","Direct",""
"94669","ჯეოფერტ ვესთ","ჯეოფერტ ვესთ","","420426881","2100, სამეგრელო-ზემო სვანეთი, ზუგდიდის რაიონი, ზუგდიდი, ანთელავას ქ. 17","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; პესტიციდებით ვაჭრობა; ქიმიკატებით, სასუქებით,მცენარეთა დაცვის საშუალებებით ვაჭრობა","","","","","ორშაბათი - კვირა: 10:00 - 19:00","","","","https://www.bia.ge/Company/94669","Subcategory 3279","3279","Direct",""
"94541","ჯი ეს ჯგუფი","ჯი ეს ჯგუფი","","424252944","0800, სამცხე-ჯავახეთი, ახალციხის რაიონი, ახალციხე, წმ. ანდრია პირველწოდებულის ქ. 13","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დისტრიბუტორები; დილერები; კვების პროდუქტებით ვაჭრობა (საბითუმო); ტკბილეულით ვაჭრობა; შოკოლადის ნაწარმით ვაჭრობა; უალკოჰოლო სასმელებით ვაჭრობა (საბითუმო); ნატურალური წვენებით ვაჭრობა; არყით ვაჭრობა; ალკოჰოლური სასმელებით ვაჭრობა (საბითუმო)","","","","","ორშაბათი - შაბათი: 10:00 - 18:00","","","","https://www.bia.ge/Company/94541","Subcategory 3279","3279","Direct",""
"105712","ბურსა","პანცელეონი","","441560981","4800, კახეთი, ყვარლის რაიონი, ყვარელი, ი. ჭავჭავაძის ქ. VI შეს., ბ. 5","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; საყოფაცხოვრებო ტექნიკით ვაჭრობა (საცალო); ავეჯით ვაჭრობა","","","","","ორშაბათი - შაბათი: 10:00 - 18:00","","","","https://www.bia.ge/Company/105712","Subcategory 3279","3279","Direct",""
"98140","მოკა","კაფიტალი სისტემს","","405268017","0183, თბილისი, ვაკე-საბურთალოს რაიონი, ზარწემის ქ. 40","","+995555456191; +995322252930","","","https://www.caffitaly.com.ge/","https://www.facebook.com/MOKAGEORGIA","","","","დილერები; ყავით ვაჭრობა; ყავის აპარატებით ვაჭრობა, მომსახურება","","","","პრემიუმ ხარისხის ყავის აპარატები და კაფსულები","ორშაბათი - კვირა: 09:00 - 19:00","","","","https://www.bia.ge/Company/98140","Subcategory 3279","3279","Direct",""
"147","ტოიოტა კავკასია","ტოიოტა კავკასია","","236089273","0189, თბილისი, გლდანი-ნაძალადევის რაიონი, ე. ანდრონიკაშვილის ქ. 31ბ","","+995322720045; +995322720046","","","http://www.toyota.ge/","https://www.facebook.com/toyota.ge","","","https://www.youtube.com/channel/UCEvSxlWgrMlxboYLQvQH24w","ავტომობილებით ვაჭრობა; ავტონაწილებითა და აქსესუარებით ვაჭრობა (საბითუმო); მეორადი ავტომობილებით ვაჭრობა; დილერები","","","","","ორშაბათი - პარასკევი: 09:30 - 18:00","","","","https://www.bia.ge/Company/147","Subcategory 3279","3279","Direct",""
"124984","კაპიტალ +","კაპიტალ +","","216443285","3700, ქვემო ქართლი, რუსთავი, მშვიდობის ქ. მიმდებარე ტერიტორია","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; დისტრიბუტორები; სამშენებლო მასალებით ვაჭრობა (საბითუმო); ცემენტით ვაჭრობა","","","","","ორშაბათი - პარასკევი: 09:00 - 18:00","","","","https://www.bia.ge/Company/124984","Subcategory 3279","3279","Direct",""
"32728","ელიტ ტექნიკა","ელიტ ტექნიკა","","441556745","4800, კახეთი, ყვარლის რაიონი, ყვარელი, ჭავჭავაძის ქ. 182","","","","","","https://www.facebook.com/BIA.BusinessInformationAgency/","","","","დილერები; საყოფაცხოვრებო ტექნიკით ვაჭრობა (საცალო)","","","","","ორშაბათი - შაბათი: 10:00 - 18:00","","","","https://www.bia.ge/Company/32728","Subcategory 3279","3279","Direct",""
"98759","ელ თი","ლექსუს თბილისი","","402049617","0112, თბილისი, ვაკე-საბურთალოს რაიონი, დ. აღმაშენებლის ხეივანი 160","","+995322225588","","","https://www.lexusgeorgia.ge/","https://www.facebook.com/LexusTbilisi/","","","","ავტომობილებით ვაჭრობა; ავტონაწილებითა და აქსესუარებით ვაჭრობა (საცალო); ავტოსერვისი; დილერები","","","","","ორშაბათი - პარასკევი: 09:30 - 18:30","","","","https://www.bia.ge/Company/98759","Subcategory 3279","3279","Direct",""
